Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/003f7815-067a-4e8e-b05a-243c345439ff,10,0,4,15.183160000742646,2.4659999980940484,59.79959999967832,3307.0,0.014411849427723316,0.0,4,19,24,29,60,60,60,60,60,60,60
GET,/batch/00d5edd9-8207-4e4d-9814-997a41b3d939,8,0,7,7.405837500300549,2.762300005997531,13.790899996820372,3753.5,0.011529479542178653,0.0,7,9,12,12,14,14,14,14,14,14,14
GET,/batch/00f1819b-683f-4291-97ca-a13e156d7889,10,0,4,29.70830999984173,2.650400005222764,239.3339000045671,3470.1,0.014411849427723316,0.0,4,5,9,22,240,240,240,240,240,240,240
GET,/batch/016b44bc-508e-4fd6-8fc3-f0b40fdf0dc5,5,0,16,33.57367999997223,3.651200000604149,121.0988000020734,3225.4,0.007205924713861658,0.0,16,21,21,120,120,120,120,120,120,120,120
GET,/batch/02b3b30c-3abb-44b1-a3dc-1530fcad002c,10,0,5,11.616440001671435,2.7856000015162863,31.760900004883297,3862.7,0.014411849427723316,0.0,6,13,15,32,32,32,32,32,32,32,32
GET,/batch/02c3cd01-00dc-42b2-8d24-e634995c4ade,8,0,5,23.457662499822618,3.7588999985018745,89.61069999350002,3332.375,0.011529479542178653,0.0,13,16,50,50,90,90,90,90,90,90,90
GET,/batch/034dae71-11aa-4e68-8ca0-2822fd10e81b,9,0,8,11.597311111270553,3.3244000005652197,35.2573999989545,3750.5555555555557,0.012970664484950984,0.0,8,9,16,18,35,35,35,35,35,35,35
GET,/batch/038b7afd-dc92-4f43-8214-d93ecad41660,8,0,4,7.574075000775338,2.61540000064997,16.208300003199838,3718.125,0.011529479542178653,0.0,5,11,14,14,16,16,16,16,16,16,16
GET,/batch/03973a21-7fc3-47e9-8154-7ed86999f61c,11,0,11,19.26507272781402,2.9885999974794686,71.11580000491813,3408.818181818182,0.015853034370495647,0.0,11,24,30,30,40,71,71,71,71,71,71
GET,/batch/05711129-6159-48d0-8d8a-3b9dbdd8fcfc,11,0,6,6.985909089879979,2.4737999992794357,20.46640000480693,2717.090909090909,0.015853034370495647,0.0,6,8,8,8,10,20,20,20,20,20,20
GET,/batch/06abca87-55e5-481a-a885-fe6131d4f1bc,16,0,6,17.790218751088105,2.7120000013383105,78.29510000010487,2516.6875,0.023058959084357306,0.0,7,12,37,37,53,78,78,78,78,78,78
GET,/batch/0739d921-85dd-4f36-bd46-d8b30e4b68e3,13,0,10,13.64896153916981,2.8621999954339117,39.444199996069074,3254.076923076923,0.01873540425604031,0.0,10,18,22,25,26,39,39,39,39,39,39
GET,/batch/0781a3f5-6283-44c5-9ecd-e396303185c1,11,0,13,29.926072726745836,2.826900003128685,87.99020000151359,3341.090909090909,0.015853034370495647,0.0,13,34,71,71,79,88,88,88,88,88,88
GET,/batch/08445941-bf40-4693-9deb-fa4b4359e2c6,6,0,13,17.295149997759534,3.415099999983795,33.90969999600202,2536.3333333333335,0.00864710965663399,0.0,17,17,31,31,34,34,34,34,34,34,34
GET,/batch/0a11b355-eca6-4585-8303-6e50c35e94fd,8,0,6,90.52317500118079,3.1923999995342456,536.5817999991123,3979.5,0.011529479542178653,0.0,6,31,130,130,540,540,540,540,540,540,540
GET,/batch/0ae21594-726b-4fab-850f-daae73c49238,17,0,6,24.740399999941207,2.8618999931495637,237.3520000037388,2837.1176470588234,0.024500144027129637,0.0,6,16,21,28,32,240,240,240,240,240,240
GET,/batch/0af47a49-9e3b-4271-902b-b226d52c7f47,9,0,7,48.26863333356515,3.7452000033226795,257.0819000029587,2577.6666666666665,0.012970664484950984,0.0,7,16,43,92,260,260,260,260,260,260,260
GET,/batch/0b82c4fd-2fdd-4d09-bc3c-e377b4849003,13,0,6,21.04073076714905,2.7903999944101088,159.66669999761507,3074.5384615384614,0.01873540425604031,0.0,6,10,11,27,31,160,160,160,160,160,160
GET,/batch/0b9169dd-5b7b-44a7-b7c2-e4f86cc41bd0,7,0,8,17.320771428265807,3.7431999953696504,56.01970000134315,3046.5714285714284,0.01008829459940632,0.0,8,15,26,26,56,56,56,56,56,56,56
GET,/batch/0bc5cfa3-4df3-4a6e-8e83-bc27e38583e0,8,0,4,34.57962499851419,2.923799998825416,127.79649999720277,3036.75,0.011529479542178653,0.0,6,22,110,110,130,130,130,130,130,130,130
GET,/batch/0be5f297-fe0d-437e-941b-ccbc32801b96,8,0,5,7.572562500172353,2.9356000013649464,16.89780000015162,3530.125,0.011529479542178653,0.0,6,9,14,14,17,17,17,17,17,17,17
GET,/batch/0bf1a914-b38c-4640-98f3-976e8385981d,5,0,7,12.396100001933519,2.8615000046556816,33.08090000064112,3750.0,0.007205924713861658,0.0,7,14,14,33,33,33,33,33,33,33,33
GET,/batch/0ceed0bf-e58c-4e2e-8d64-b4d695ead5b3,7,0,9,14.271442856365216,4.344699998910073,30.414699998800643,4348.428571428572,0.01008829459940632,0.0,9,15,24,24,30,30,30,30,30,30,30
GET,/batch/0d183178-a52a-44f4-b2ad-fe6d90c0c900,9,0,4,6.883711111085075,2.9609999983222224,23.102699997252785,2624.0,0.012970664484950984,0.0,4,6,7,9,23,23,23,23,23,23,23
GET,/batch/0e7dcfc7-3543-4601-9803-461714d03767,8,0,7,39.44940000110364,3.272300004027784,144.0684000044712,3882.125,0.011529479542178653,0.0,14,22,120,120,140,140,140,140,140,140,140
GET,/batch/0ed5b40d-12c4-447f-a3d3-c9f13c7eef74,9,0,5,5.2792777787544765,3.018200004589744,8.50229999923613,2284.777777777778,0.012970664484950984,0.0,5,5,6,8,9,9,9,9,9,9,9
GET,/batch/0f93564b-6b81-4a02-9d9e-24f120cae6df,11,0,4,6.256372728041077,3.1006999997771345,13.912999995227437,2792.4545454545455,0.015853034370495647,0.0,4,5,10,10,11,14,14,14,14,14,14
GET,/batch/0f940d34-cb75-44fe-9b4a-d1545b8f61a3,10,0,7,71.47516999830259,2.7733999959309585,529.6194999973522,2589.1,0.014411849427723316,0.0,9,33,54,67,530,530,530,530,530,530,530
GET,/batch/0fbb34b0-0cba-45ea-8c05-78b802e9096b,11,0,5,13.318318182427902,2.759499999228865,46.44410000037169,3719.3636363636365,0.015853034370495647,0.0,5,12,25,25,34,46,46,46,46,46,46
GET,/batch/1313c07f-2ce4-4152-8c5a-5b2c7b66de4a,10,0,15,81.39553000000888,3.6483999938354827,469.59310000238474,4123.7,0.014411849427723316,0.0,16,29,32,230,470,470,470,470,470,470,470
GET,/batch/139b6b1e-f618-472e-b15f-8ac0a111a374,4,0,4,15.472099999897182,3.050200000870973,35.35130000091158,4533.25,0.0057647397710893266,0.0,19,19,35,35,35,35,35,35,35,35,35
